Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
19/08/00,Charlton,Man City,4.0,0.0,H,2.0,0.0,H
19/08/00,Chelsea,West Ham,4.0,2.0,H,1.0,0.0,H
19/08/00,Coventry,Middlesbrough,1.0,3.0,A,1.0,1.0,D
19/08/00,Derby,Southampton,2.0,2.0,D,1.0,2.0,A
19/08/00,Leeds,Everton,2.0,0.0,H,2.0,0.0,H
19/08/00,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,D
19/08/00,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,D
19/08/00,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,D
19/08/00,Tottenham,Ipswich,3.0,1.0,H,2.0,1.0,H
20/08/00,Man United,Newcastle,2.0,0.0,H,1.0,0.0,H
21/08/00,Arsenal,Liverpool,2.0,0.0,H,1.0,0.0,H
22/08/00,Bradford,Chelsea,2.0,0.0,H,1.0,0.0,H
22/08/00,Ipswich,Man United,1.0,1.0,D,1.0,1.0,D
22/08/00,Middlesbrough,Tottenham,1.0,1.0,D,0.0,1.0,A
23/08/00,Everton,Charlton,3.0,0.0,H,0.0,0.0,D
23/08/00,Man City,Sunderland,4.0,2.0,H,2.0,0.0,H
23/08/00,Newcastle,Derby,3.0,2.0,H,1.0,1.0,D
23/08/00,Southampton,Coventry,1.0,2.0,A,0.0,1.0,A
23/08/00,West Ham,Leicester,0.0,1.0,A,0.0,0.0,D
26/08/00,Arsenal,Charlton,5.0,3.0,H,1.0,2.0,A
26/08/00,Bradford,Leicester,0.0,0.0,D,0.0,0.0,D
26/08/00,Everton,Derby,2.0,2.0,D,2.0,0.0,H
26/08/00,Ipswich,Sunderland,1.0,0.0,H,0.0,0.0,D
26/08/00,Man City,Coventry,1.0,2.0,A,0.0,2.0,A
26/08/00,Middlesbrough,Leeds,1.0,2.0,A,0.0,2.0,A
26/08/00,Newcastle,Tottenham,2.0,0.0,H,1.0,0.0,H
26/08/00,Southampton,Liverpool,3.0,3.0,D,0.0,1.0,A
26/08/00,West Ham,Man United,2.0,2.0,D,0.0,1.0,A
27/08/00,Aston Villa,Chelsea,1.0,1.0,D,1.0,1.0,D
05/09/00,Leeds,Man City,1.0,2.0,A,0.0,2.0,A
05/09/00,Man United,Bradford,6.0,0.0,H,2.0,0.0,H
05/09/00,Sunderland,West Ham,1.0,1.0,D,1.0,1.0,D
05/09/00,Tottenham,Everton,3.0,2.0,H,1.0,2.0,A
06/09/00,Charlton,Southampton,1.0,1.0,D,0.0,0.0,D
06/09/00,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H
06/09/00,Coventry,Newcastle,0.0,2.0,A,0.0,1.0,A
06/09/00,Derby,Middlesbrough,3.0,3.0,D,0.0,1.0,A
06/09/00,Leicester,Ipswich,2.0,1.0,H,0.0,0.0,D
06/09/00,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H
09/09/00,Bradford,Arsenal,1.0,1.0,D,1.0,0.0,H
09/09/00,Coventry,Leeds,0.0,0.0,D,0.0,0.0,D
09/09/00,Ipswich,Aston Villa,1.0,2.0,A,0.0,1.0,A
09/09/00,Leicester,Southampton,1.0,0.0,H,0.0,0.0,D
09/09/00,Liverpool,Man City,3.0,2.0,H,1.0,0.0,H
09/09/00,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H
09/09/00,Middlesbrough,Everton,1.0,2.0,A,1.0,0.0,H
09/09/00,Newcastle,Chelsea,0.0,0.0,D,0.0,0.0,D
10/09/00,Derby,Charlton,2.0,2.0,D,2.0,0.0,H
11/09/00,Tottenham,West Ham,1.0,0.0,H,0.0,0.0,D
16/09/00,Arsenal,Coventry,2.0,1.0,H,1.0,0.0,H
16/09/00,Aston Villa,Bradford,2.0,0.0,H,1.0,0.0,H
16/09/00,Charlton,Tottenham,1.0,0.0,H,1.0,0.0,H
16/09/00,Everton,Man United,1.0,3.0,A,0.0,3.0,A
16/09/00,Leeds,Ipswich,1.0,2.0,A,1.0,1.0,D
16/09/00,Southampton,Newcastle,2.0,0.0,H,0.0,0.0,D
16/09/00,Sunderland,Derby,2.0,1.0,H,1.0,0.0,H
17/09/00,Chelsea,Leicester,0.0,2.0,A,0.0,1.0,A
17/09/00,Man City,Middlesbrough,1.0,1.0,D,0.0,0.0,D
17/09/00,West Ham,Liverpool,1.0,1.0,D,0.0,1.0,A
23/09/00,Bradford,Southampton,0.0,1.0,A,0.0,1.0,A
23/09/00,Coventry,West Ham,0.0,3.0,A,0.0,2.0,A
23/09/00,Derby,Leeds,1.0,1.0,D,0.0,1.0,A
23/09/00,Ipswich,Arsenal,1.0,1.0,D,0.0,0.0,D
23/09/00,Liverpool,Sunderland,1.0,1.0,D,1.0,1.0,D
23/09/00,Man United,Chelsea,3.0,3.0,D,3.0,2.0,H
23/09/00,Middlesbrough,Aston Villa,1.0,1.0,D,0.0,0.0,D
23/09/00,Newcastle,Charlton,0.0,1.0,A,0.0,1.0,A
23/09/00,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D
24/09/00,Leicester,Everton,1.0,1.0,D,1.0,0.0,H
30/09/00,Aston Villa,Derby,4.0,1.0,H,2.0,0.0,H
30/09/00,Charlton,Coventry,2.0,2.0,D,0.0,1.0,A
30/09/00,Everton,Ipswich,0.0,3.0,A,0.0,1.0,A
30/09/00,Leeds,Tottenham,4.0,3.0,H,0.0,1.0,A
30/09/00,Man City,Newcastle,0.0,1.0,A,0.0,0.0,D
30/09/00,Southampton,Middlesbrough,1.0,3.0,A,0.0,2.0,A
30/09/00,West Ham,Bradford,1.0,1.0,D,1.0,0.0,H
01/10/00,Arsenal,Man United,1.0,0.0,H,1.0,0.0,H
01/10/00,Chelsea,Liverpool,3.0,0.0,H,2.0,0.0,H
